Lista,LP, ,Greedy, ,Greedy M2, ,Greedy M3, ,Greedy M4, ,Greedy M5, ,DTC 05, ,DTC 10, ,DTC 20, ,DTC 40, ,AG 5, ,AG 10, ,AG 20, ,AG 40, ,AG 80, ,AG 160, ,AG 320, 
 ,Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s)
random0-200.txt,"1768,45","72,98","1785,78","0,893","1773,41","3,015","1773,41","6,296","1768,45","6,198","1768,45","9,339","1774,18","3,059","1788,9","5,184","1782,29","3,716","1792,03","6,263","1934,56","5,357","1952,6","10,402","1996,06","20,4","2046,57","40,537","2048,31","80,635","2030,61","160,699","2061,74","320,845"
random10-200.txt,"1628,25","23,901","1640,98","1,113","1631,24","2,994","1628,25","5,208","1628,25","10,167","1628,25","10,17","1643,57","4,202","1641,27","3,71","1644,9","4,572","1638,53","6,105","1887,37","5,309","1900,9","10,425","1919,39","20,486","2012,63","40,506","1932,36","80,616","2025,73","160,714","2113,38","320,785"
random11-200.txt,"1348,82","25,463","1348,82","0,95","1348,82","2,467","1348,82","6,423","1348,82","7,712","1348,82","9,588","1377,32","5,103","1364,72","4,615","1348,82","3,91","1357,19","7,973","1584,78","5,355","1479,72","10,398","1575,13","20,504","1601,1","40,632","1653,27","80,593","1652,78","160,71","1719,82","320,863"
random1-200.txt,"2132,3","207,635","2154,48","1,122","2134,81","3,402","2133,38","17,709","2132,84","39,547","2132,84","67,349","2148,08","5,332","2143,3","10,594","2145,64","6,423","2141,09","20,171","2307,59","5,334","2368,32","10,45","2362,21","20,463","2360,81","40,615","2462,85","80,749","2416,25","160,832","2545,3","320,812"
random12-200.txt,"3622,67","22,414","3643,95","1,132","3631,19","3,012","3622,67","5,947","3622,67","8,188","3622,67","8,641","3643,0","2,773","3634,67","4,716","3629,51","5,099","3627,14","9,849","3881,29","5,362","3865,02","10,336","3888,44","20,501","3885,02","40,561","3989,33","80,68","3995,05","160,709","4073,77","320,803"
random13-200.txt,"1310,79","120,041","1311,56","0,853","1310,79","2,74","1310,79","8,718","1310,79","19,975","1310,79","24,401","1312,31","3,711","1323,71","5,115","1323,5","5,735","1312,31","14,67","1538,17","5,35","1476,07","10,424","1501,05","20,47","1488,06","40,574","1586,75","80,644","1558,22","160,838","1715,36","320,925"
random14-200.txt,"1693,51","213,985","1702,87","1,101","1695,13","9,494","1695,13","10,38","1695,13","43,601","1695,13","34,552","1701,54","6,066","1702,86","5,598","1701,64","11,718","1703,28","11,101","1854,69","5,339","1997,15","10,344","1916,3","20,445","1987,55","40,462","2005,79","80,625","2040,11","160,702","2081,6","320,689"
random15-200.txt,"2840,88","65,977","2853,48","0,833","2844,44","3,526","2840,88","5,895","2840,88","16,329","2840,88","16,229","2868,22","4,194","2852,34","4,212","2851,69","7,339","2854,42","10,07","3099,31","5,347","3202,3","10,409","3093,94","20,434","3179,99","40,619","3108,62","80,588","3098,46","160,834","3200,24","320,802"
random16-200.txt,"10290,75","89,259","10294,5","0,774","10290,75","2,194","10290,75","8,414","10290,75","15,216","10290,75","16,49","10296,87","5,085","10296,87","6,026","10299,54","8,322","10298,14","16,007","10368,41","5,298","10453,41","10,409","10516,92","20,474","10529,47","40,537","10588,68","80,665","10652,13","160,825","10800,23","320,868"
