Lista,LP, ,Greedy, ,Greedy M2, ,Greedy M3, ,Greedy M4, ,Greedy M5, ,DTC 05, ,DTC 10, ,DTC 20, ,DTC 40, ,AG 5, ,AG 10, ,AG 20, ,AG 40, ,AG 80, ,AG 160, ,AG 320, 
 ,Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s)
random0-400.txt,"6906,19","20,069","6918,7","4,635","6906,19","9,834","6906,19","13,831","6906,19","18,05","6906,19","27,614","6919,13","6,392","6911,97","5,555","6918,97","6,827","6916,93","13,673","7214,18","5,546","7169,76","10,537","7161,89","20,64","7165,32","40,839","7134,2","81,0","7161,7","161,095","7257,89","321,276"
random10-400.txt,"2620,47","172,008","2644,32","5,478","2624,71","34,556","2620,47","29,452","2620,47","74,343","2620,47","133,423","2649,51","77,604","2647,32","8,626","2655,53","10,8","2653,68","16,933","2797,72","5,559","2840,25","10,723","2925,96","20,791","2937,08","41,0","2975,15","81,027","2972,24","161,311","3005,4","321,529"
random11-400.txt,"7833,76","97,876","7834,31","5,485","7833,76","13,731","7833,76","33,669","7833,76","63,528","7833,76","102,775","7833,76","16,876","7836,04","11,38","7843,61","8,004","7850,99","15,903","8436,87","5,574","8415,31","10,644","8334,2","20,703","8207,67","40,905","8237,17","81,082","8222,99","161,346","8278,8","321,303"
random12-400.txt,"11000,6","1134,268","11037,49","5,573","11000,6","21,412","11000,6","83,372","11000,6","184,237","11000,6","311,204","11008,07","48,738","11021,97","11,72","11007,12","10,991","11004,76","28,919","11209,69","5,618","11311,88","10,568","11274,25","20,773","11301,8","40,849","11267,03","80,962","11296,79","161,177","11232,2","321,196"
random13-400.txt,"5761,56","262,24","5777,07","3,997","5761,56","9,249","5761,56","18,841","5761,56","76,911","5761,56","216,483","5779,48","14,745","5780,94","9,589","5764,64","12,783","5778,26","14,588","6008,9","5,635","6098,56","10,677","6042,92","20,847","6156,93","40,942","6092,04","81,184","6172,19","161,377","6238,12","321,49"
random1-400.txt,"2960,05","751,152","2976,01","4,613","2960,05","16,635","2960,05","43,084","2960,05","84,999","2960,05","443,997","2965,97","20,188","2972,65","9,637","2992,33","14,361","2970,61","14,508","3190,76","5,599","3244,29","10,622","3140,57","20,729","3281,69","41,03","3266,24","81,076","3377,81","161,191","3397,85","321,353"
random14-400.txt,"1970,68","49,425","1991,2","3,985","1979,1","9,068","1977,95","18,175","1970,68","27,46","1970,68","44,299","1989,45","23,201","1979,1","10,169","2001,88","9,387","1987,72","21,948","2264,63","5,533","2180,62","10,557","2257,19","20,855","2282,97","40,901","2289,85","81,154","2264,71","161,219","2305,65","321,303"
random15-400.txt,"2731,46","26,104","2739,95","3,94","2731,46","10,138","2731,46","16,712","2731,46","23,352","2731,46","29,57","2746,6","7,611","2736,96","7,258","2758,1","10,182","2734,64","10,97","2933,73","5,584","3017,98","10,718","2990,94","20,897","2966,78","40,893","2966,16","81,182","3039,78","161,434","3146,82","321,52"
random16-400.txt,"3190,16","325,366","3200,83","4,662","3190,53","11,477","3190,16","33,003","3190,16","228,233","3190,16","184,592","3197,56","27,045","3209,7","6,94","3206,0","9,529","3197,08","24,493","3535,61","5,527","3461,72","10,692","3549,66","20,853","3560,01","40,88","3499,8","81,263","3568,1","161,397","3636,56","321,588"
random17-400.txt,"7693,76","105,066","7708,38","4,785","7698,34","11,476","7696,92","22,658","7693,76","42,708","7693,76","58,81","7706,32","7,852","7704,08","7,055","7707,65","5,64","7705,8","14,061","7997,35","5,679","7998,9","10,651","7987,5","20,904","7947,5","41,086","8014,58","81,218","7993,48","161,311","7987,05","321,51"
random18-400.txt,"19098,02","347,155","19115,72","5,222","19100,09","15,755","19098,02","70,627","19098,02","52,495","19098,02","60,242","19119,28","34,304","19121,76","10,248","19105,55","7,099","19110,85","32,239","19414,38","5,539","19339,8","10,717","19480,74","20,825","19360,94","40,904","19448,42","81,064","19354,47","161,339","19410,17","321,359"
random19-400.txt,"3077,77","134,655","3100,04","5,226","3077,77","11,772","3077,77","20,098","3077,77","27,511","3077,77","39,096","3105,83","7,337","3101,39","9,806","3081,25","13,487","3092,7","17,018","3312,28","5,631","3342,9","10,727","3340,69","20,903","3314,34","41,04","3423,51","81,097","3369,21","161,429","3404,94","321,589"
random20-400.txt,"2750,55","484,127","2760,67","3,922","2754,17","10,022","2750,55","39,12","2750,55","97,751","2750,55","127,275","2775,71","15,364","2760,31","17,897","2765,83","14,704","2765,87","32,629","2962,01","5,607","2978,73","10,535","2947,16","20,717","3040,16","40,898","3032,98","80,994","3076,06","161,183","3181,98","321,284"
random21-400.txt,"6861,21","25,769","6880,23","4,658","6861,79","10,135","6861,21","15,375","6861,21","22,255","6861,21","25,403","6877,61","6,999","6866,84","7,32","6877,0","6,44","6871,92","20,65","7163,08","5,57","7177,09","10,542","7148,0","20,758","7166,15","40,794","7133,31","80,915","7192,02","161,191","7141,76","321,308"
random22-400.txt,"6753,23","381,697","6769,63","4,691","6760,54","20,207","6760,29","93,854","6753,23","219,216","6753,23","215,573","6761,01","26,224","6767,48","13,67","6780,15","13,979","6785,29","16,712","6969,01","5,571","6967,43","10,522","6997,02","20,712","7098,01","40,949","7087,16","81,192","7112,6","161,325","7125,12","321,353"
random23-400.txt,"3793,72","84,419","3816,01","5,581","3798,85","11,701","3793,89","17,642","3793,72","24,933","3793,72","62,358","3811,79","10,33","3809,54","8,09","3811,26","7,65","3808,12","23,911","4057,56","5,576","3979,76","10,604","4046,57","20,693","4061,55","40,933","4066,44","81,085","4206,95","161,157","4228,5","321,229"
random2-400.txt,"3559,51","64,885","3573,43","5,2","3559,61","11,802","3559,51","20,804","3559,51","30,522","3559,51","64,662","3582,74","7,625","3568,83","7,76","3572,49","9,121","3567,02","19,4","3837,75","5,623","3775,38","10,644","3826,74","20,706","3950,38","40,915","3894,78","80,93","4049,01","161,183","3916,91","321,445"
random24-400.txt,"5602,63","531,384","5613,81","4,249","5605,84","27,025","5602,63","43,889","5602,63","79,499","5602,63","110,647","5614,74","31,437","5618,32","12,233","5620,34","7,947","5616,46","17,766","5855,21","5,545","5918,92","10,648","5930,32","20,817","5996,19","40,936","5973,37","81,092","5998,78","161,292","6085,68","321,292"
