Lista,LP, ,Greedy, ,Greedy M2, ,Greedy M3, ,Greedy M4, ,Greedy M5, ,DTC 05, ,DTC 10, ,DTC 20, ,DTC 40, ,AG 5, ,AG 10, ,AG 20, ,AG 40, ,AG 80, ,AG 160, ,AG 320, 
 ,Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s)
random0-400.txt,"6998,87","96,596","7012,28","3,627","7005,15","8,498","6999,23","12,951","6999,23","17,098","6999,23","35,264","7005,72","8,147","7018,61","7,285","7008,51","7,148","7038,4","17,099","7546,39","5,468","7385,81","10,541","7574,05","20,654","7389,45","40,763","7498,63","80,82","7599,9","161,054","7692,96","321,131"
random10-400.txt,"2704,0","4172,97","2735,37","3,722","2704,0","26,23","2704,0","70,042","2704,0","241,852","2704,0","644,78","2743,55","368,725","2730,86","18,814","2730,18","12,409","2736,84","35,151","3156,51","5,529","3163,43","10,581","3313,77","20,751","3248,31","40,865","3312,65","81,119","3441,12","161,248","3385,68","321,522"
random11-400.txt,"7931,89","156,487","7933,89","4,435","7931,89","14,785","7931,89","30,478","7931,89","45,864","7931,89","77,613","7936,48","11,233","7932,36","14,905","7950,71","15,063","7939,9","25,252","8381,5","5,518","8672,6","10,636","8489,73","20,801","8465,53","40,861","8567,19","81,17","8521,2","161,289","8604,88","321,389"
random12-400.txt,"11088,27","1990,304","11127,45","3,781","11102,93","41,966","11089,76","143,789","11088,27","426,725","11088,27","597,702","11089,97","60,18","11119,07","13,013","11096,44","15,576","11105,56","40,656","11310,23","5,561","11301,68","10,535","11640,26","20,794","11641,35","40,931","11523,88","80,929","11593,08","161,22","11533,1","321,345"
random13-400.txt,"5835,28","498,989","5856,59","4,704","5836,64","9,099","5836,64","19,02","5836,64","49,943","5836,64","98,925","5866,4","12,063","5857,82","10,785","5869,21","15,374","5862,13","36,303","6139,98","5,531","6190,65","10,621","6260,0","20,755","6332,42","41,004","6383,28","81,119","6485,06","161,227","6459,36","321,502"
random1-400.txt,"3042,41","721,631","3063,02","3,313","3042,41","18,783","3042,41","36,931","3042,41","210,735","3042,41","294,143","3085,05","197,742","3061,46","16,986","3071,27","16,855","3066,44","19,202","3344,76","5,498","3432,9","10,621","3496,34","20,661","3485,89","40,77","3573,55","81,098","3545,51","161,208","3770,51","321,463"
random14-400.txt,"2051,23","318,459","2072,09","4,062","2054,34","9,408","2054,34","15,912","2054,34","48,004","2053,63","65,88","2074,98","85,432","2070,81","10,576","2087,89","10,455","2058,85","22,312","2561,62","5,458","2530,9","10,632","2593,91","20,69","2623,21","40,919","2539,16","81,0","2554,49","161,089","2527,29","321,255"
random15-400.txt,"2805,89","77,466","2823,8","3,38","2805,89","17,549","2805,89","16,396","2805,89","23,538","2805,89","25,625","2840,52","20,633","2841,42","12,059","2845,59","14,197","2841,45","23,134","3418,11","5,482","3221,91","10,566","3285,13","20,787","3227,03","40,856","3396,96","81,096","3274,75","161,32","3496,81","321,347"
random16-400.txt,"3275,92","1266,086","3285,6","3,352","3276,81","32,112","3276,81","78,261","3275,92","89,935","3275,92","313,679","3335,09","42,681","3284,74","22,43","3303,38","17,524","3312,0","34,241","3615,83","5,57","3756,17","10,58","3612,17","20,868","3723,3","40,88","3662,86","81,237","3908,45","161,275","3995,77","321,552"
random17-400.txt,"7781,95","187,427","7799,05","4,167","7786,45","16,045","7785,75","27,739","7785,75","53,941","7781,95","92,448","7790,16","14,328","7800,19","8,31","7791,16","8,341","7792,04","17,241","8242,67","5,498","8251,24","10,608","8393,41","20,705","8290,67","40,782","8355,13","81,063","8395,1","161,102","8294,15","321,324"
random18-400.txt,"19189,55","304,527","19209,71","4,754","19189,55","8,918","19189,55","15,031","19189,55","23,101","19189,55","61,75","19201,31","15,102","19206,49","9,09","19193,18","10,018","19204,36","34,867","19566,77","5,565","19588,72","10,585","19730,14","20,715","19839,52","40,864","19712,1","80,941","19784,57","161,17","19805,94","321,223"
