Lista,LP, ,Greedy, ,Greedy M2, ,Greedy M3, ,Greedy M4, ,Greedy M5, ,DTC 05, ,DTC 10, ,DTC 20, ,DTC 40, ,AG 5, ,AG 10, ,AG 20, ,AG 40, ,AG 80, ,AG 160, ,AG 320, 
 ,Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s)
random0-200.txt,"527,64","249,404","547,67","1,917","527,64","4,852","527,64","20,745","527,64","41,339","527,64","45,434","555,15","7,186","555,89","8,454","558,59","19,981","574,3","26,884","775,83","5,493","780,64","10,478","755,9","20,541","767,04","40,786","858,95","80,692","901,76","161,031","957,46","321,241"
random10-200.txt,"568,36","149,779","606,52","2,05","568,62","5,155","568,62","8,767","568,62","17,079","568,62","24,396","600,4","7,518","594,97","9,892","579,73","15,251","594,22","52,67","944,87","5,509","973,34","10,428","807,62","20,522","822,26","40,812","869,15","80,754","1018,71","160,968","1135,42","321,265"
random11-200.txt,"482,13","222,88","507,0","1,571","482,13","4,909","482,13","10,201","482,13","34,855","482,13","44,057","512,95","5,682","503,9","5,652","503,28","12,897","504,1","55,457","831,11","5,436","727,35","10,557","809,51","20,562","732,56","40,715","876,71","80,795","967,75","160,987","945,56","321,133"
random1-200.txt,"575,5","297,955","601,28","1,703","575,5","5,055","575,5","14,737","575,5","42,977","575,5","68,09","595,5","8,501","612,75","11,471","610,1","13,251","608,84","72,7","828,78","5,486","807,72","10,426","900,65","20,713","901,44","40,596","878,51","80,759","1100,26","160,964","1233,9","320,862"
random12-200.txt,"516,61","117,656","548,27","1,763","516,51","4,23","516,51","9,451","516,51","16,733","516,51","20,2","516,75","7,781","536,93","6,774","516,75","23,985","530,3","47,116","1025,88","5,455","983,74","10,45","887,12","20,573","869,34","40,756","848,25","80,793","760,58","161,012","908,5","321,043"
random13-200.txt,"454,94","328,07","476,52","1,776","454,94","5,059","454,94","26,843","454,94","39,376","454,94","51,247","469,11","13,402","478,34","8,285","472,46","21,618","470,46","44,54","721,63","5,398","719,0","10,49","846,08","20,732","810,33","40,638","727,38","80,851","783,72","160,911","971,08","321,034"
random14-200.txt,"573,95","200,888","610,17","1,773","586,72","7,078","584,45","11,693","573,95","17,006","573,95","39,854","618,63","9,55","594,01","11,421","605,64","15,721","597,63","36,031","852,6","5,377","810,86","10,433","865,09","20,555","865,61","40,588","935,68","80,766","1044,66","161,04","1129,45","321,172"
random15-200.txt,"420,36","2797,137","441,48","1,366","423,37","20,851","421,85","75,579","421,85","48,035","420,36","90,508","457,57","7,854","436,78","10,863","427,32","29,757","435,07","39,95","641,51","5,507","636,62","10,438","676,31","20,63","735,91","40,622","769,95","80,935","899,58","161,042","963,97","320,955"
random16-200.txt,"668,26","567,221","697,58","2,939","671,9","7,79","671,9","33,297","668,26","45,432","668,26","77,65","677,91","7,631","687,32","10,781","678,6","18,324","684,26","43,48","861,27","5,48","889,85","10,484","1018,56","20,59","915,96","40,664","926,96","80,722","1141,62","160,741","1170,14","320,83"
random17-200.txt,"647,65","261,169","663,94","1,845","650,68","7,904","648,08","9,368","648,08","33,959","647,65","43,442","655,58","11,41","659,93","13,118","665,43","41,479","667,99","40,857","950,24","5,487","905,82","10,496","881,86","20,643","911,98","40,715","981,7","80,685","1103,1","160,855","1142,55","321,062"
random18-200.txt,"1355,98","467,508","1393,02","1,843","1356,76","4,606","1356,76","11,406","1355,98","38,191","1355,98","56,346","1362,19","12,058","1411,43","9,767","1362,19","24,71","1368,41","29,611","1583,19","5,389","1573,29","10,512","1551,96","20,624","1638,01","40,788","1622,72","80,714","1756,05","161,098","1906,42","320,993"
random19-200.txt,"543,01","964,832","596,2","1,564","555,69","24,609","547,19","33,946","543,01","85,758","543,01","63,57","587,56","12,656","595,23","8,468","587,43","21,177","576,11","68,603","767,14","5,489","789,03","10,505","711,39","20,572","857,53","40,628","852,07","80,84","1007,57","160,777","1230,47","321,014"
random20-200.txt,"495,39","524,922","533,57","2,028","500,64","26,286","498,95","43,552","495,39","58,875","495,39","107,015","525,02","8,245","512,91","11,957","519,82","20,614","534,13","41,679","734,11","5,371","691,25","10,533","716,68","20,513","714,13","40,718","854,34","80,733","781,46","160,915","986,5","320,847"
