Lista,LP, ,Greedy, ,Greedy M2, ,Greedy M3, ,Greedy M4, ,Greedy M5, ,DTC 05, ,DTC 10, ,DTC 20, ,DTC 40, ,AG 5, ,AG 10, ,AG 20, ,AG 40, ,AG 80, ,AG 160, ,AG 320, 
 ,Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s)
random0-800.txt,"1528,8","6592,493","1594,46","40,03","1528,8","117,998","1528,8","415,541","1528,8","1204,688","1528,8","2980,386","1546,49","145,501","1572,49","93,2","1560,19","105,814","1545,75","138,968","2576,18","7,05","2519,36","11,831","2528,16","22,2","2444,24","42,633","2185,91","83,543","2223,03","163,242","2199,0","323,927"
random10-800.txt,"1646,7","57000,375","1709,56","50,41","1647,88","273,152","1646,7","7445,487","1646,7","19204,254","1646,7","33305,93","1686,0","1024,556","1719,69","215,381","1698,58","137,959","1686,03","187,12","3038,44","6,531","3043,88","12,172","2854,55","22,724","2761,73","42,765","2662,78","83,089","2455,58","163,151","2324,42","324,48"
random11-800.txt,"1529,28","2828,838","1572,92","39,671","1529,28","184,864","1529,28","577,232","1529,28","1339,495","1529,28","2683,461","1546,97","110,921","1573,45","66,242","1561,15","157,656","1548,9","187,634","2537,51","7,183","2423,34","11,723","2490,34","22,213","2372,36","42,275","2385,89","83,55","2337,29","164,421","2200,62","324,48"
random12-800.txt,"1681,61","649,736","1740,15","47,035","1688,24","126,28","1681,61","335,355","1681,61","367,341","1681,61","805,267","1714,7","204,047","1713,79","65,921","1710,65","77,011","1724,94","67,943","2784,97","6,519","2736,22","12,079","2528,52","22,431","2461,64","43,369","2565,55","83,344","2399,5","163,86","2307,99","323,793"
random13-800.txt,"1696,47","6443,99","1741,87","73,109","1706,46","611,754","1703,77","3827,37","1703,77","6971,494","1696,47","2761,923","1733,02","283,054","1751,83","138,08","1723,32","335,11","1720,0","165,726","2763,3","6,863","2519,79","11,94","2643,13","22,108","2559,98","43,463","2347,99","84,061","2332,72","163,313","2170,94","324,079"
random14-800.txt,"1623,12","334637,14","1684,65","76,737","1634,93","797,846","1624,53","20711,812","1623,12","58470,956","1623,12","159634,75","1676,42","439,798","1633,91","155,854","1663,19","218,139","1644,18","184,673","2650,47","6,55","2656,09","13,19","2660,03","22,723","2558,97","43,381","2446,4","84,468","2463,0","163,877","2181,96","323,941"
random15-800.txt,"1551,6","31886,888","1570,15","35,063","1553,58","191,721","1551,6","713,363","1551,6","4033,558","1551,6","8649,285","1603,62","673,485","1620,57","172,908","1566,53","133,343","1583,74","140,16","2694,61","6,726","2649,69","12,085","2449,83","22,739","2445,26","43,179","2419,85","83,575","2232,32","163,79","2276,21","324,1"
random16-800.txt,"1341,94","17563,88","1425,91","53,906","1354,7","893,492","1352,99","17221,96","1341,94","8096,599","1341,94","8206,749","1372,0","1501,607","1417,59","106,248","1375,41","204,746","1351,55","157,678","2655,01","6,843","2322,01","12,241","2236,12","22,585","2260,18","43,457","2034,25","83,203","2121,58","164,409","1876,08","324,501"
random17-800.txt,"1583,06","1921,308","1639,67","51,696","1592,5","256,614","1583,06","362,845","1583,06","866,555","1583,06","1376,766","1606,94","86,677","1619,01","46,563","1627,25","55,472","1618,61","104,944","3146,18","6,743","2848,86","11,787","2547,95","22,459","2604,9","42,884","2450,58","84,358","2392,97","164,471","2259,78","325,051"
random1-800.txt,"1876,63","29922,158","1947,61","56,235","1898,9","449,077","1876,63","6679,11","1876,63","4561,057","1878,1","12377,471","1917,04","611,332","1901,36","168,932","1924,46","408,024","1924,93","148,55","2793,28","6,505","2978,48","12,261","2822,3","23,12","2761,03","42,892","2691,04","83,502","2568,95","163,947","2461,93","323,881"
